Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Geometri
0357/2025;Gjerdalen 1;UNDERSOEKELSESRETT;TEAKO MINERALS NORWAY AS;931558854;Godkjent;2025-01-13;2025-01-31;Kobber,Molybden,REE,Uran,Zirkonium;1875;Hábmer - Hamarøy;18;Nordland - Nordlánnda;POLYGON ((16.2351700867719 67.6891970023996,16.3531598118774 67.6882599111523,16.3521293370719 67.6703255506342,16.2342294066647 67.6712618101108,16.2351700867719 67.6891970023996))
0358/2025;Vallia 6;UNDERSOEKELSESRETT;TEAKO MINERALS NORWAY AS;931558854;Godkjent;2025-01-13;2025-01-31;Bly,Gull,Kobber,Sink,Sølv;1826;Aarborte - Hattfjelldal;18;Nordland - Nordlánnda;POLYGON ((14.0302120716366 65.3770141917964,14.0947325513855 65.3774145665191,14.0956583199214 65.3505008588127,14.0312037974818 65.3501009782034,14.0302120716366 65.3770141917964))
0359/2025;Sjøholt 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-13;2025-01-31;Jern,Titan,Vanadium;1508;Ålesund;15;Møre og Romsdal;POLYGON ((6.72045337608593 62.4969027287251,6.81742021443785 62.4984523131508,6.81873068400859 62.4805134478274,6.7218216745285 62.4789650373462,6.72045337608593 62.4969027287251))
0362/2025;Kvasstinden 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-13;2025-01-31;Jern,Titan,Vanadium;1539;Rauma;15;Møre og Romsdal;POLYGON ((7.63480662214041 62.634427138099,7.73227694962644 62.6353428249845,7.73304269426025 62.6173956869366,7.63563119897862 62.6164806990881,7.63480662214041 62.634427138099))
0363/2025;Kvasstinden 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-13;2025-01-31;Jern,Titan,Vanadium;1539;Rauma;15;Møre og Romsdal;POLYGON ((7.63398091426285 62.6523735246223,7.73151015457855 62.6532899113895,7.73227694962643 62.6353428249844,7.63480662214039 62.634427138099,7.63398091426285 62.6523735246223))
0347/2025;Selvåg 1;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Jern,Titan,Vanadium;1867;Bø;18;Nordland - Nordlánnda;POLYGON ((14.5416712219775 68.7961391810492,14.5912186122775 68.7962657191224,14.5920407692212 68.7514244186511,14.5425930225312 68.7512981727775,14.5416712219775 68.7961391810492))
0348/2025;Selvåg 2;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Jern,Titan,Vanadium;1867;Bø;18;Nordland - Nordlánnda;POLYGON ((14.4921244723785 68.7959981825401,14.5416712219775 68.7961391810492,14.5425930225312 68.7512981727775,14.4931459125048 68.7511574998559,14.4921244723785 68.7959981825401))
0349/2025;Selvåg 3;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Jern,Titan,Vanadium;1867;Bø;18;Nordland - Nordlánnda;POLYGON ((14.5200526479215 68.8220886180018,14.5894999843795 68.8222705705056,14.589979920267 68.7962627319097,14.5206137710932 68.7960810235482,14.5200526479215 68.8220886180018))
0350/2025;Tørdal 1;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Molybden,REE;4016;Drangedal;40;Telemark;POLYGON ((8.76394932978735 59.1921571066318,8.81645913240199 59.1922418345734,8.81660347299481 59.1653007835271,8.7641349644193 59.1652161456108,8.76394932978735 59.1921571066318))
0351/2025;Tørdal 2;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Molybden,REE;4016;Drangedal;40;Telemark;POLYGON ((8.71143987178352 59.192051172432,8.76394932978735 59.1921571066318,8.7641349644193 59.1652161456109,8.71166679956062 59.165110323968,8.71143987178352 59.192051172432))
